"geodata.lon","geodata.lat"
-95.712891,37.09024
-95.712891,37.09024
133.775136,-25.274398
-97.7430608,30.267153
-77.0368707,38.9071923
-86.902298,32.3182314
-86.902298,32.3182314
-97.7430608,30.267153
-81.1059309,40.9153362
-108.2186856,36.7280583
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-101.0020119,47.5514926
-98.4936282,29.4241219
-74.0059728,40.7127753
-96.5608242,32.7965165
-121.8995741,37.4323341
-95.712891,37.09024
-95.712891,37.09024
-95.712891,37.09024
-85.323214,51.253775
-74.0059728,40.7127753
-75.1652215,39.9525839
-83.985,42.43472
-77.1945247,41.2033216
-77.1945247,41.2033216
-77.1945247,41.2033216
-77.1945247,41.2033216
-90.0489801,35.1495343
-104.990251,39.7392358
-97.7430608,30.267153
-82.5306527,27.3364347
-87.6087638,41.8054641
-117.8531007,33.7879139
-84.1252243,41.3922726
-84.7721702,37.6456329
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-82.9987942,39.9611755
-95.6751576,39.0473451
-75.1652215,39.9525839
-87.6297982,41.8781136
-81.5157535,27.6648274
-81.5157535,27.6648274
-81.5157535,27.6648274
-95.712891,37.09024
-85.6023643,44.3148443
-85.6023643,44.3148443
-85.6023643,44.3148443
-118.2436849,34.0522342
-73.8648268,40.8447819
-80.5886646,28.0344621
-77.297508,18.109581
-95.3698028,29.7604267
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-83.6324022,32.8406946
-90.1892396,29.9023695
-81.1637245,33.836081
-97.7430608,30.267153
-95.3698028,29.7604267
-74.0643065,40.3470543
-73.5387341,41.0534302
-73.5387341,41.0534302
-82.2084804,39.7139578
-78.6381787,35.7795897
-87.6297982,41.8781136
-86.8026123,33.4939473
-86.8026123,33.4939473
-86.8026123,33.4939473
-86.8026123,33.4939473
-90.0715323,29.9510658
-93.2890527,30.8463055
-93.2890527,30.8463055
-82.907123,40.4172871
-81.5157535,27.6648274
-111.8389726,40.5649781
-86.1349019,40.2671941
-118.2436849,34.0522342
-122.0838511,37.3860517
-122.0838511,37.3860517
-73.99193,40.684207
-73.99193,40.684207
-84.4610394,35.6014636
-84.4610394,35.6014636
-84.4610394,35.6014636
