"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x424664120","x1102041189530980352",2019-03-03 03:01:09,"ViraBurnayeva","#STUDY: #Colostrum &amp; immunomodulator Bifivir are significantly more effective than anti-flu #vaccination in the prevention of #Flu episodes

https://t.co/icqREcA5KN

#LearnTheRisk #FluShot #vaccines https://t.co/5r5jZNtjC7","Vaccines and Homeopathy News",202,,,,FALSE,FALSE,1,0,"STUDY Colostrum vaccination Flu LearnTheRisk FluShot vaccines",,"ncbi.nlm.nih.gov/pubmed/21183886","https://t.co/icqREcA5KN","https://www.ncbi.nlm.nih.gov/pubmed/21183886","http://pbs.twimg.com/media/D0s8ntDWkAAw2cy.jpg","https://t.co/5r5jZNtjC7","https://twitter.com/ViraBurnayeva/status/1102041189530980352/photo/1","photo","http://pbs.twimg.com/media/D0s8ntDWkAAw2cy.jpg","https://t.co/5r5jZNtjC7","https://twitter.com/ViraBurnayeva/status/1102041189530980352/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1102041189530980352","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1100776109489225731",2019-02-27 15:14:10,"ViraBurnayeva","#STUDY: #Flu #Vaccine Is Associated With 4.4 Times Increased Risk of Non-Flu Respiratory Infections

https://t.co/59oaU2n8eo

It's a good study where real SALINE placebo was used. Usually a #vaccine is tested against other vaccine or an adjuvant.

#LearnTheRisk #VaccineSafety https://t.co/phazQIj8yd","Vaccines and Homeopathy News",276,,,,FALSE,FALSE,4,2,"STUDY Flu Vaccine vaccine LearnTheRisk VaccineSafety",,"ncbi.nlm.nih.gov/pmc/articles/P…","https://t.co/59oaU2n8eo","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3404712/","http://pbs.twimg.com/media/D0a-CYKX0AAlQZU.jpg","https://t.co/phazQIj8yd","https://twitter.com/ViraBurnayeva/status/1100776109489225731/photo/1","photo","http://pbs.twimg.com/media/D0a-CYKX0AAlQZU.jpg","https://t.co/phazQIj8yd","https://twitter.com/ViraBurnayeva/status/1100776109489225731/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1100776109489225731","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1101046108120330242",2019-02-28 09:07:03,"ViraBurnayeva","Dr. Offit vs. Dr. Moss on #FluShot

https://t.co/suECxqK4Uc 

Dr. Alvin Moss' testimony was given before a Senate Committee in West Virginia in support of a bill to restore the state's religious and philosophical #vaccine exemption.

#LearnTheRisk #VaccineInjury #Flu #vaccines https://t.co/WizZ5QSN77","Vaccines and Homeopathy News",277,,,,FALSE,FALSE,4,5,"FluShot vaccine LearnTheRisk VaccineInjury Flu vaccines",,"youtu.be/c-N6X-VEXEY","https://t.co/suECxqK4Uc","https://youtu.be/c-N6X-VEXEY","http://pbs.twimg.com/media/D0ezmYdWkAAeSY5.jpg","https://t.co/WizZ5QSN77","https://twitter.com/ViraBurnayeva/status/1101046108120330242/photo/1","photo","http://pbs.twimg.com/media/D0ezmYdWkAAeSY5.jpg","https://t.co/WizZ5QSN77","https://twitter.com/ViraBurnayeva/status/1101046108120330242/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101046108120330242","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1101706117586055168",2019-03-02 04:49:41,"ViraBurnayeva","How Much Do You Really Know About the #Flu Vaccine?
https://t.co/2aBmNPjLws https://t.co/a2FzF6ZdLe","Vaccines and Homeopathy News",75,,,,FALSE,FALSE,3,0,"Flu",,"youtu.be/5JF4DOKx7TQ","https://t.co/2aBmNPjLws","https://youtu.be/5JF4DOKx7TQ","http://pbs.twimg.com/media/D0oL39_WoAErRTV.jpg","https://t.co/a2FzF6ZdLe","https://twitter.com/ViraBurnayeva/status/1101706117586055168/photo/1","photo","http://pbs.twimg.com/media/D0oL39_WoAErRTV.jpg","https://t.co/a2FzF6ZdLe","https://twitter.com/ViraBurnayeva/status/1101706117586055168/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101706117586055168","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1099823459755048960",2019-02-25 00:08:41,"ViraBurnayeva","#STUDY: #Flu #Vaccine Associated w/ Spontaneous Abortion in #Pregnant Women

https://t.co/E1kkV3B8qE
#VaccineInjury https://t.co/u20xZd5jra","Vaccines and Homeopathy News",115,,,,FALSE,FALSE,1,2,"STUDY Flu Vaccine Pregnant VaccineInjury",,"vaccineimpact.com/2017/study-flu…","https://t.co/E1kkV3B8qE","https://vaccineimpact.com/2017/study-flu-shot-associated-with-spontaneous-abortion-in-pregnant-women/","http://pbs.twimg.com/media/D0Nbm2uX0AEodYB.png","https://t.co/u20xZd5jra","https://twitter.com/ViraBurnayeva/status/1099823459755048960/photo/1","photo","http://pbs.twimg.com/media/D0Nbm2uX0AEodYB.png","https://t.co/u20xZd5jra","https://twitter.com/ViraBurnayeva/status/1099823459755048960/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1099823459755048960","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1101025428226170880",2019-02-28 07:44:52,"ViraBurnayeva","#STUDY: Failure of #Flu A #Vaccine to Protect Healthy Children Aged 6-24 months

https://t.co/OUoyCQS9zA

#vaccines #LearnTheRisk https://t.co/vcTxHxEnIy","Vaccines and Homeopathy News",129,,,,FALSE,FALSE,1,2,"STUDY Flu Vaccine vaccines LearnTheRisk",,"ncbi.nlm.nih.gov/pubmed/15056235","https://t.co/OUoyCQS9zA","https://www.ncbi.nlm.nih.gov/pubmed/15056235","http://pbs.twimg.com/media/D0egyahWoAAPIku.jpg","https://t.co/vcTxHxEnIy","https://twitter.com/ViraBurnayeva/status/1101025428226170880/photo/1","photo","http://pbs.twimg.com/media/D0egyahWoAAPIku.jpg","https://t.co/vcTxHxEnIy","https://twitter.com/ViraBurnayeva/status/1101025428226170880/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101025428226170880","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1100234838400032769",2019-02-26 03:23:21,"ViraBurnayeva","Did your doctor tell you the #FluShot INCREASES respiratory issues 4.4 times?

#STUDY:  Increased Risk of Noninfluenza Respiratory Virus Infections Associated with Receipt of Inactivated #Influenza #Vaccine

https://t.co/kYIpEjYcnf

#LearnTheRisk #VaccineSafety #FluVaccine #Flu https://t.co/54rPkQ3Las","Vaccines and Homeopathy News",278,,,,FALSE,FALSE,11,10,"FluShot STUDY Influenza Vaccine LearnTheRisk VaccineSafety FluVaccine Flu",,"academic.oup.com/cid/article/54…","https://t.co/kYIpEjYcnf","https://academic.oup.com/cid/article/54/12/1778/455098","http://pbs.twimg.com/media/D0TRwQsWoAEZ0DF.jpg","https://t.co/54rPkQ3Las","https://twitter.com/ViraBurnayeva/status/1100234838400032769/photo/1","photo","http://pbs.twimg.com/media/D0TRwQsWoAEZ0DF.jpg","https://t.co/54rPkQ3Las","https://twitter.com/ViraBurnayeva/status/1100234838400032769/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1100234838400032769","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1099528276014522368",2019-02-24 04:35:43,"ViraBurnayeva","#Thimerosal, #Mercury-Based Preservative, Neurotoxin &amp; Known Carcinogen Is Still In Multi-Dose #Flu #Vaccines https://t.co/23z5HVobFr","Vaccines and Homeopathy News",113,,,,FALSE,FALSE,3,4,"Thimerosal Mercury Flu Vaccines",,,,,"http://pbs.twimg.com/media/D0JPI5sXQAEsLmH.jpg","https://t.co/23z5HVobFr","https://twitter.com/ViraBurnayeva/status/1099528276014522368/photo/1","photo","http://pbs.twimg.com/media/D0JPI5sXQAEsLmH.jpg","https://t.co/23z5HVobFr","https://twitter.com/ViraBurnayeva/status/1099528276014522368/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1099528276014522368","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1101858164037861377",2019-03-02 14:53:52,"ViraBurnayeva","US Government Pays Out Millions to Victims Killed or Paralyzed by #FluShot

https://t.co/8JJEOldj2f

Of those 89 cases compensated, 77 were for injuries &amp; 1 death caused by the #FluVaccine, making the #flu shot the most dangerous #vaccine in the US.

#LearnTheRisk  #VaccineInjury https://t.co/shBMDmIoZJ","Vaccines and Homeopathy News",284,,,,FALSE,FALSE,19,12,"FluShot FluVaccine flu vaccine LearnTheRisk VaccineInjury",,"vaccineimpact.com/2018/u-s-gover…","https://t.co/8JJEOldj2f","http://vaccineimpact.com/2018/u-s-government-pays-out-millions-to-flu-shot-victims-killed-or-paralyzed-by-influenza-vaccine/","http://pbs.twimg.com/media/D0qWJ_lWwAYJ783.jpg","https://t.co/shBMDmIoZJ","https://twitter.com/ViraBurnayeva/status/1101858164037861377/photo/1","photo","http://pbs.twimg.com/media/D0qWJ_lWwAYJ783.jpg","https://t.co/shBMDmIoZJ","https://twitter.com/ViraBurnayeva/status/1101858164037861377/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1101858164037861377","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
"x424664120","x1100825510383403009",2019-02-27 18:30:28,"ViraBurnayeva","BCBS gives a pediatrician $400 per child who's got 100% of #vaccines (including #Flu) they recommend by age of 2.

It's called PROVIDER INCENTIVE PROGRAM: https://t.co/YXY2PGjrfO

Page 15 will give you an idea why it's so hard to find a vaccine-exemption-friendly pediatrician. https://t.co/aju2GYabHb","Vaccines and Homeopathy News",277,,,,FALSE,FALSE,3,5,"vaccines Flu",,"whale.to/c/2016-BCN-BCB…","https://t.co/YXY2PGjrfO","http://whale.to/c/2016-BCN-BCBSM-Incentive-Program-Booklet.pdf","http://pbs.twimg.com/media/D0bq9okXcAAJRFt.jpg","https://t.co/aju2GYabHb","https://twitter.com/ViraBurnayeva/status/1100825510383403009/photo/1","photo","http://pbs.twimg.com/media/D0bq9okXcAAJRFt.jpg","https://t.co/aju2GYabHb","https://twitter.com/ViraBurnayeva/status/1100825510383403009/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ViraBurnayeva/status/1100825510383403009","LotusOak","NoVA, USA","❦ God, please give me the grace to accept the things that I cannot change. And grant unto me the power to change the things that I cannot accept. ❦",,FALSE,6519,6889,89,12004,1174,2011-11-30 01:40:51,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1068706554164232192/V90YWzmJ_normal.jpg"
